Advertisement_Number,Location,Post
ISAC:02:2018,"यू.आर. राव उपग्रह केंद्र, (यू.आर.एस.सी.) / U. R. Rao Satellite Centre (URSC) , बेंगलूर / Bengaluru",https://www.isro.gov.in/recruitment-post-of-technician-b-draughtsman-technical-assistant-and-library-assistant
ISAC : 01:2018,"यू.आर. राव उपग्रह केंद्र, (यू.आर.एस.सी.) / U. R. Rao Satellite Centre (URSC) , बेंगलूर / Bengaluru",https://www.isro.gov.in/recruitment-post-of-junior-research-fellow-0
ISAC:01:2017,"यू.आर. राव उपग्रह केंद्र, (यू.आर.एस.सी.) / U. R. Rao Satellite Centre (URSC) , बेंगलूर / Bengaluru",https://www.isro.gov.in/recruitment-of-scientists-engineers-sc
ISAC:03:2016,"यू.आर. राव उपग्रह केंद्र, (यू.आर.एस.सी.) / U. R. Rao Satellite Centre (URSC) , बेंगलूर / Bengaluru",https://www.isro.gov.in/recruitment-post-of-cook-catering-attendant-isac
ISAC:02:2016,"यू.आर. राव उपग्रह केंद्र, (यू.आर.एस.सी.) / U. R. Rao Satellite Centre (URSC) , बेंगलूर / Bengaluru",https://www.isro.gov.in/recruitment-of-technician-b-draughtsman-b-technical-assistant-scientific-assistant-library-assistant
ISAC:01:2016,"यू.आर. राव उपग्रह केंद्र, (यू.आर.एस.सी.) / U. R. Rao Satellite Centre (URSC) , बेंगलूर / Bengaluru",https://www.isro.gov.in/recruitment-of-scientists-engineers-sc-with-post-graduate-degree-engineering-graduate-engineering
ISAC:02:2011,"यू.आर. राव उपग्रह केंद्र, (यू.आर.एस.सी.) / U. R. Rao Satellite Centre (URSC) , बेंगलूर / Bengaluru",https://www.isro.gov.in/post-of-catering-attendant
ISRO HQ:02:2019,"इसरो मुख्‍यालय (इसरो मु.) / ISRO Headquarters (ISR HQ) , नई दिल्‍ली  / NewDelhi",https://www.isro.gov.in/recruitment-to-post-of-technical-assistant-electrical-posting-new-delhi
ISRO HQ:01:2019,"इसरो मुख्‍यालय (इसरो मु.) / ISRO Headquarters (ISR HQ) , बेंगलूर / Bengaluru",https://www.isro.gov.in/recruitment-of-library-assistant
इसरो मु./ISRO HQ: 02:2018,"इसरो मुख्‍यालय (इसरो मु.) / ISRO Headquarters (ISR HQ) , बेंगलूर / Bengaluru",https://www.isro.gov.in/recruitment-to-post-of-technician-b-electrical
ISRO HQ: 01:2018,"इसरो मुख्‍यालय (इसरो मु.) / ISRO Headquarters (ISR HQ) , बेंगलूर / Bengaluru , इसरो मुख्‍यालय (इसरो मु.) / ISRO Headquarters (ISR HQ) , चंडीगढ़ / Chandigarh , इसरो मुख्‍यालय (इसरो मु.) / ISRO Headquarters (ISR HQ) , हासन / Hassan , इसरो मुख्‍यालय (इसरो मु.) / ISRO Headquarters (ISR HQ) , मुंबई / Mumbai",https://www.isro.gov.in/recruitment-to-post-of-technician-b-civil-technician-b-electrical-and-junior-hindi-translator
LPSC/05/2019,"द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , बेंगलूर / Bengaluru , द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/recruitment-to-post-of-scientist-engineer
LPSC/03/2019,"द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , बेंगलूर / Bengaluru , द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/recruitment-to-posts-of-technician-b-dman-b-hindi-typist
LPSC/04/2019,"द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , बेंगलूर / Bengaluru , द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/recruitment-to-post-of-technical-assistant-0
LPSC/02/2019,"द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , बेंगलूर / Bengaluru , द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/technical-assistants
LPSC/01/2019,"द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , बेंगलूर / Bengaluru , द्रव नोदन प्रणाली केंद्र (एल.पी.एस.सी.) / Liquid Propulsion Systems Centre (LPSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/recruitment-to-posts-of-technicians-dman-hvd-lvd-catering-attendant
MCF/PGA/02/2014,"मुख्‍य नियंत्रण सुविधा (एम.सी.एफ.) / Master Control Facility (MCF) , हासन / Hassan",https://www.isro.gov.in/library-assistant
MCF/PGA/02/2014,"मुख्‍य नियंत्रण सुविधा (एम.सी.एफ.) / Master Control Facility (MCF) , हासन / Hassan",https://www.isro.gov.in/technical-assistant
MCF/PGA/02/2014,"मुख्‍य नियंत्रण सुविधा (एम.सी.एफ.) / Master Control Facility (MCF) , हासन / Hassan",https://www.isro.gov.in/junior-hindi-translator-1
MCF/PGA/01/2014,"मुख्‍य नियंत्रण सुविधा (एम.सी.एफ.) / Master Control Facility (MCF) , हासन / Hassan",https://www.isro.gov.in/technician-b-draughtsman-b
MCF/PGA/01/2014,"मुख्‍य नियंत्रण सुविधा (एम.सी.एफ.) / Master Control Facility (MCF) , हासन / Hassan",https://www.isro.gov.in/catering-attendant
NESAC/RMT-R/01/2019,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-scientist-engineer-and-technical-assistant
NESAC/RMT/01/2018,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-to-post-of-scientist-engineer-%E2%80%98sc%E2%80%99-0
NESAC/RMT-JRF/11.4(IX)/2017,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-jrf-0
NESAC/RMT-RA/11.5/2017,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-research-associate-i
NESAC/RMT-JRF/11.4(VIII)/2017,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-jrf
NESAC/RMT-ADMN(Asst. & JPA),"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-assistant-and-junior-personal-assistant
NESAC/01/2016,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-research-scientist
NESAC/RMT-JRF/11.4(VII)/2016,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-junior-research-fellow
NESAC/RMT/02/2016,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-scientist-engineer-%E2%80%98sc%E2%80%99
NESAC/RMT-JHT/11.6/2016,"उत्‍तर पूर्वी अंतरिक्ष उपयोग केंद्र (उ.पू.-सैक) / North Eastern-Space Applications Centre (NE-SAC) , मेघालय / Meghalaya",https://www.isro.gov.in/recruitment-post-of-junior-hindi-translator
NRSC:RMT:03:2016,"राष्‍ट्रीय सुदूर संवेदन केंद्र (एन.आर.एस.सी.) / National Remote Sensing Centre (NRSC) , हैदराबाद / Hyderabad",https://www.isro.gov.in/recruitment-position-of-continuous-airworthiness-manager-cam
A.12011/7/2016-1,"राष्‍ट्रीय सुदूर संवेदन केंद्र (एन.आर.एस.सी.) / National Remote Sensing Centre (NRSC) , हैदराबाद / Hyderabad",https://www.isro.gov.in/recruitment-post-of-controller-nrsc-hyderabad
B.20011/6/2013-V,"भौतिक अनुसंधान प्रयोगशाला (पी.आर.एल.) / Physical Research Laboratory (PRL) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-post-of-director
SAC:02:2018,"अंतरिक्ष उपयोग केंद्र (सैक) / Space Applications Centre (SAC) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-of-sci-engr-%E2%80%98sc%E2%80%99-mdes
SAC:01/2018,"अंतरिक्ष उपयोग केंद्र (सैक) / Space Applications Centre (SAC) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-of-scientist-engineer-sdscientific-assistant-multimediatechnician-b-and-cook-catering
SAC:04/2017,"अंतरिक्ष उपयोग केंद्र (सैक) / Space Applications Centre (SAC) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-post-of-pharmacist
SAC:03:2017,"अंतरिक्ष उपयोग केंद्र (सैक) / Space Applications Centre (SAC) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-post-of-junior-research-fellow-and-research-scientist
SAC:02:2017,"अंतरिक्ष उपयोग केंद्र (सैक) / Space Applications Centre (SAC) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-post-scientist-engineer-sd
SAC:01/2017,"अंतरिक्ष उपयोग केंद्र (सैक) / Space Applications Centre (SAC) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-post-of-junior-hindi-translator-and-hindi-typist
SAC-DECU:02:2016,"अंतरिक्ष उपयोग केंद्र (सैक) / Space Applications Centre (SAC) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-posts-of-scientist-engineer-social-research-officer-junior-producer-social-research
A. 16011/1/2016-1,"अंतरिक्ष उपयोग केंद्र (सैक) / Space Applications Centre (SAC) , अहमदाबाद  /Ahmedabad",https://www.isro.gov.in/recruitment-post-of-controller
01/Chem.Engrs/2016,"सेमी-कण्‍डक्‍टर लेबोरेटरी (एस.सी.एल.) / Semi-Conductor Laboratory (SCL) , चंडीगढ़ / Chandigarh",https://www.isro.gov.in/recruitment-post-of-scientists-engineers-sc
SDSC-SHAR-RMT-2018-03,"सतीश धवन अंतरिक्ष केंद्र (एस.डी.एस.सी.) शार / Satish Dhawan Space Centre (SDSC) SHAR , श्रीहरिकोटा / Sriharikota",https://www.isro.gov.in/recruitment-post-of-medical-officer-sub-officer-driver-cum-operator-fireman-%E2%80%98%E2%80%99-and-primary-teacher
SDSC-SHAR-RMT-2018-01,"सतीश धवन अंतरिक्ष केंद्र (एस.डी.एस.सी.) शार / Satish Dhawan Space Centre (SDSC) SHAR , श्रीहरिकोटा / Sriharikota",https://www.isro.gov.in/recruitment-post-of-scientist-engineer-and-medical-officer
SDSC SHAR/RMT/03/2017,"सतीश धवन अंतरिक्ष केंद्र (एस.डी.एस.सी.) शार / Satish Dhawan Space Centre (SDSC) SHAR , श्रीहरिकोटा / Sriharikota",https://www.isro.gov.in/recruitment-post-of-scientific-assistant-technical-assistant-library-assistant
SDSC SHAR/RMT/01/2017,"सतीश धवन अंतरिक्ष केंद्र (एस.डी.एस.सी.) शार / Satish Dhawan Space Centre (SDSC) SHAR , श्रीहरिकोटा / Sriharikota",https://www.isro.gov.in/recruitment-post-of-scientist-engineer-%E2%80%98sc%E2%80%99-0
SDSC SHAR/RMT/06/2016,"सतीश धवन अंतरिक्ष केंद्र (एस.डी.एस.सी.) शार / Satish Dhawan Space Centre (SDSC) SHAR , श्रीहरिकोटा / Sriharikota",https://www.isro.gov.in/recruitment-post-of-medical-officer
SDSC SHAR/RMT/05/2016,"सतीश धवन अंतरिक्ष केंद्र (एस.डी.एस.सी.) शार / Satish Dhawan Space Centre (SDSC) SHAR , श्रीहरिकोटा / Sriharikota",https://www.isro.gov.in/recruitment-post-of-junior-hindi-traslator
SDSC SHAR/RMT/02/2016,"सतीश धवन अंतरिक्ष केंद्र (एस.डी.एस.सी.) शार / Satish Dhawan Space Centre (SDSC) SHAR , श्रीहरिकोटा / Sriharikota",https://www.isro.gov.in/recruitment-posts-of-scientific-assistant-technical-assistant
VSSC – 309,"विक्रम साराभाई अंतरिक्ष केंद्र (वी.एस.एस.सी.) / Vikram Sarabhai Space Centre (VSSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/applications-are-invited-junior-research-fellow-jrfresearch-associatera
VSSC–308,"विक्रम साराभाई अंतरिक्ष केंद्र (वी.एस.एस.सी.) / Vikram Sarabhai Space Centre (VSSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/applications-are-invited-junior-research-fellow-jrfresearch-associaterapositions-tenable-one-of
VSSC-306,"विक्रम साराभाई अंतरिक्ष केंद्र (वी.एस.एस.सी.) / Vikram Sarabhai Space Centre (VSSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/invites-applications-following-posts-placement-mvit-resident-cell-of-vssc-sdsc-shar-sriharikota
VSSC-304,"विक्रम साराभाई अंतरिक्ष केंद्र (वी.एस.एस.सी.) / Vikram Sarabhai Space Centre (VSSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/invites-application-following-posts
VSSC-305,"विक्रम साराभाई अंतरिक्ष केंद्र (वी.एस.एस.सी.) / Vikram Sarabhai Space Centre (VSSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/invites-application-following-posts-0
VSSC-303,"विक्रम साराभाई अंतरिक्ष केंद्र (वी.एस.एस.सी.) / Vikram Sarabhai Space Centre (VSSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/inviting-online-applications-09-posts-of-technician-b-vssc
VSSC-300,"विक्रम साराभाई अंतरिक्ष केंद्र (वी.एस.एस.सी.) / Vikram Sarabhai Space Centre (VSSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/invites-application-scientist-engineer-sdscientist-engineer-sc-and-medical-officer-sc
VSSC-301,"विक्रम साराभाई अंतरिक्ष केंद्र (वी.एस.एस.सी.) / Vikram Sarabhai Space Centre (VSSC) , तिरुवनंतपुरम / Thiruvananthapuram",https://www.isro.gov.in/invites-application-technical-assistant-scientific-assistant-and-junior-hindi-translator
